distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 optim_v-6 optim_v-7 optim_v-8 optim_v-9 optim_v-10 optim_v-11 optim_v-12 optim_v-13 optim_v-14 optim_v-15 optim_v-16 
9.820256 1 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
9.467856 2 0.2594628 0.3782873 0.3691973 0.894775 0.9552055 0.4868256 0.5296057 0.1017831 0.2045104 0.5766768 0.6412911 0.2352747 0.523633 0.4466688 0.3485582 0.6909347 
12.04866 3 0.9887192 0.5040299 0.9541106 0.552571 0.14661 0.5978803 0.8064457 0.6262621 0.0105145 0.6220971 0.9736874 0.2369746 0.1761301 0.9304127 0.02292663 0.4682321 
7.795056 4 0.8356523 0.643432 0.8174951 0.6609845 0.1677462 0.5784189 0.498204 0.007230565 0.939376 0.8531794 0.06793134 0.3413384 0.5611459 0.0672171 0.07597154 0.1316295 
6.329323 5 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
8.820523 6 0.05048854 0.9961475 0.628867 0.2987782 0.2643945 0.6863824 0.2302507 0.6570036 0.9119639 0.4233097 0.6068997 0.4705829 0.1973665 0.7588097 0.07885837 0.7194588 
12.08519 7 0.137498 0.6268209 0.2402367 0.1277379 0.1292573 0.3487911 0.8847024 0.8733418 0.2978072 0.0221205 0.3586085 0.724125 0.5220953 0.9504008 0.9136792 0.5659778 
12.01426 8 0.9719501 0.1335554 0.331996 0.06747466 0.8503234 0.2621258 0.9921464 0.2695537 0.2761409 0.5968559 0.8162984 0.9160084 0.6465735 0.8691063 0.09777949 0.8236911 
10.93946 9 0.5651545 0.6957581 0.1992172 0.9838199 0.6734561 0.3167292 0.5043314 0.6616451 0.8443871 0.8103603 0.367649 0.4438046 0.6609704 0.4083915 0.0533475 0.3966184 
11.23892 10 0.4714752 0.7577241 0.5337974 0.1170945 0.3292949 0.1344499 0.2452351 0.774057 0.2768613 0.04950842 0.2815585 0.8701754 0.7763899 0.9909196 0.07170994 0.8965235 
8.501856 11 0.9245521 0.8341037 0.9972586 0.99255 0.2242005 0.8979691 0.2640669 0.7558324 0.170636 0.6424827 0.565116 0.6685245 0.3027289 0.9516917 0.6361811 0.942413 
10.49478 12 0.08881187 0.7018554 0.3924389 0.1373312 0.7356376 0.4884205 0.2192765 0.1652982 0.100917 0.8811487 0.3926876 0.982175 0.3312684 0.6758652 0.1867 0.6230198 
8.455456 13 0.9729832 0.1258161 0.5644228 0.3457595 0.7282126 0.5154702 0.9514224 0.7390469 0.7750444 0.05070272 0.4754785 0.2383987 0.3074263 0.6575982 0.1342402 0.6818392 
7.673182 14 0.5293608 0.8985914 0.5829238 0.3291902 0.8211318 0.8994496 0.0312322 0.9715231 0.1718294 0.4792908 0.1831217 0.8975031 0.9722716 0.04384246 0.6135884 0.2900806 
7.24959 15 0.2844222 0.4181117 0.8465131 0.20099 0.07351822 0.8239575 0.4969297 0.008465178 0.1430434 0.2359337 0.5324553 0.3685789 0.0893276 0.6143318 0.833465 0.6334546 
9.917456 16 0.9663052 0.3948705 0.9378796 0.2732083 0.4184229 0.1823419 0.07494888 0.9898244 0.6544168 0.3517416 0.2166725 0.4132973 0.5911424 0.01665452 0.506449 0.6048065 
11.78332 17 0.498709 0.3110083 0.1412959 0.07076907 0.5266337 0.05466411 0.09450976 0.8352015 0.9976325 0.3904543 0.3214321 0.9404883 0.2987986 0.9129524 0.6744496 0.08184894 
